Designator,Mid X,Mid Y,Rotation,Layer
C1,87.5518,-110.27,180.0,top
C10,101.87,-98.94,180.0,top
C2,86.36,-116.495,90.0,top
C3,86.37,-114.19,270.0,top
C4,109.5,-98.94,180.0,top
C5,109.52,-97.73,180.0,top
C6,109.44,-112.45,0.0,top
C7,109.43,-113.6,0.0,top
C8,119.98,-100.1,270.0,top
C9,119.86,-111.4,90.0,top
D1,82.85,-108.0731,0.0,top
D2,81.8025,-116.11,0.0,top
D4,133.1525,-110.13,0.0,top
J1,119.33,-94.3,90.0,bottom
J2,146.5,-107.41,90.0,top
R1,115.715,-96.73,180.0,top
R10,127.215,-111.07,180.0,top
R11,119.775,-96.73,180.0,top
R12,123.97,-96.73,0.0,top
R2,143.06,-108.295,270.0,top
R3,92.49,-113.74,0.0,top
R4,143.07,-101.315,270.0,top
R5,92.59,-108.12,180.0,top
R6,92.59,-106.4,180.0,top
R7,143.06,-104.675,270.0,top
R8,143.06,-111.675,270.0,top
R9,127.19,-109.19,180.0,top
U2,89.18,-115.3275,270.0,top
U3,88.4009,-107.8,90.0,top
U4,105.6449,-105.67975,180.0,top
U5,116.405,-105.6797,180.0,top
